run_date,window,n_samples,auc,f1,precision,recall,accuracy,glucose_mean,bmi_mean,age_mean
2026-03-27,window_0_baseline,614,0.8185,0.6446,0.5821,0.7222,0.7208,121.68,32.43,33.24
2026-03-27,Month_1,100,0.8435,0.7089,0.6364,0.8,0.77,121.44,32.77,32.18
2026-03-27,Month_2,100,0.8677,0.7297,0.6923,0.7714,0.8,119.25,32.04,33.29
2026-03-27,Month_3,100,0.8453,0.6757,0.641,0.7143,0.76,125.41,33.35,32.85
2026-03-27,Month_4,100,0.8831,0.7632,0.7073,0.8286,0.82,120.63,32.73,33.4
2026-03-27,Month_5,100,0.844,0.7105,0.6585,0.7714,0.78,120.87,32.56,32.04
2026-03-27,Month_6,100,0.9174,0.8219,0.7895,0.8571,0.87,120.2,31.77,33.77
