run_date,window,n_samples,auc,f1,precision,recall,accuracy,glucose_mean,bmi_mean,age_mean,psi_glucose,psi_bmi,psi_age,alerts
2026-03-27,Month_1,100,0.8435,0.7089,0.6364,0.8,0.77,121.44,32.77,32.18,0.0342,0.0847,0.0492,None
2026-03-27,Month_2,100,0.8677,0.7297,0.6923,0.7714,0.8,119.25,32.04,33.29,0.057,0.0921,0.0356,None
2026-03-27,Month_3,100,0.8453,0.6757,0.641,0.7143,0.76,125.41,33.35,32.85,0.0745,0.1388,0.0793,🟡 BMI PSI=0.139
2026-03-27,Month_4,100,0.8831,0.7632,0.7073,0.8286,0.82,120.63,32.73,33.4,0.1474,0.0381,0.1374,🟡 Glucose PSI=0.147 | 🟡 Age PSI=0.137
2026-03-27,Month_5,100,0.844,0.7105,0.6585,0.7714,0.78,120.87,32.56,32.04,0.0951,0.0863,0.1561,🟡 Age PSI=0.156
2026-03-27,Month_6,100,0.9174,0.8219,0.7895,0.8571,0.87,120.2,31.77,33.77,0.0381,0.0654,0.0218,None
